Discipline	Gender	Event	order	ENG Description	FRA Description	Team Event
CM	M	021	1	Men's Cross-country	Cross-country - hommes	
CM	W	021	2	Women's Cross-country	Cross-country - femmes	
CR	0	000		Cycling Road	Cyclisme sur route	
CR	0	HAP		Hampton Court Palace	Hampton Court Palace	
CR	0	LOR		CR LOR Good Morning / Good Night	CR LOR Bonjour	
CR	0	MLL		The Mall	The Mall	
CR	M	000		Men	Hommes	
CR	M	011	2	Men's Individual Time Trial	Contre-la-montre individuel - hommes	N
CR	M	012	1	Men's Road Race	Course sur route - hommes	
CR	W	000		Women	Femmes	
CR	W	011	4	Women's Individual Time Trial	Contre-la-montre individuel - femmes	N
CR	W	012	3	Women's Road Race	Course sur route - femmes	
CS	0	000		Canoe Slalom	Canoë-kayak, slalom	
CS	0	LVC		Lee Valley W/ Water Centre	Lee Valley White Water Ctre	
CS	M	000		Canoe Slalom Men	Canoë-kayak, slalom - hommes	
CS	M	110	4	Kayak (K1) Men	Kayak monoplace (K1) - hommes	
CS	M	210	1	Canoe Single (C1) Men	Canoë monoplace (C1) - hommes	
CS	M	220	3	Canoe Double (C2) Men	Canoë biplace (C2) - hommes	
CS	W	000		Canoe Slalom Women	Canoë-kayak, slalom - femmes	
CS	W	110	2	Kayak (K1) Women	Kayak monoplace (K1) - femmes	
CT	0	000		Cycling Track	Cyclisme sur piste	
CT	0	VEL		Velodrome	Vélodrome	
CT	M	000		Men	Hommes	
CT	M	001	1	Men's Sprint	Vitesse individuelle - hommes	
CT	M	008	5	Men's Keirin	Keirin - hommes	
CT	M	010	9	Men's Omnium	Omnium - hommes	
CT	M	401	3	Men's Team Sprint	Vitesse par équipes - hommes	Y
CT	M	402	7	Men's Team Pursuit	Poursuite par équipes - hommes	Y
CT	W	000		Women	Femmes	
CT	W	001	2	Women's Sprint	Vitesse individuelle - femmes	
CT	W	008	6	Women's Keirin	Keirin - femmes	
CT	W	010	10	Women's Omnium	Omnium - femmes	
CT	W	401	4	Women's Team Sprint	Vitesse par équipes - femmes	Y
CT	W	402	8	Women's Team Pursuit	Poursuite par équipes - femmes	Y
CY	0	000		Cycling Sport	Cyclisme	
DV	0	000		Diving	Plongeon	
DV	0	AQC		Aquatics Centre	Centre aquatique	
DV	M	000		Men	Hommes	
DV	M	001	1	Men's 3m Springboard	Tremplin 3 m - hommes	
DV	M	002	3	Men's 10m Platform	Haut-vol 10 m - hommes	
DV	M	201	5	Men's Synchronised 3m Springboard	Tremplin 3 m synchronisé - hommes	
DV	M	202	7	Men's Synchronised 10m Platform	Haut-vol 10 m synchronisé - hommes	
DV	W	000		Women	Femmes	
DV	W	001	2	Women's 3m Springboard	Tremplin 3 m - femmes	
DV	W	002	4	Women's 10m Platform	Haut-vol 10 m - femmes	
DV	W	201	6	Women's Synchronised 3m Springboard	Tremplin 3 m synchronisé - femmes	
DV	W	202	8	Women's Synchronised 10m Platform	Haut-vol 10 m synchronisé - femmes	
EQ	0	000		Equestrian	Sports équestres	
EQ	0	GRP		Greenwich Park	Greenwich Park	
EQ	X	001	3	Dressage Individual	Dressage individuel	N
EQ	X	002	5	Jumping Individual	Saut d'obstacles individuel	N
EQ	X	003	1	Eventing Individual	Concours complet individuel	N
EQ	X	401	4	Dressage Team	Dressage par équipes	Y
EQ	X	402	6	Jumping Team	Saut d'obstacles par équipes	Y
EQ	X	403	2	Eventing Team	Concours complet par équipes	Y
FB	0	000		Football	Football	
FB	0	COV		City of Coventry Stadium	City of Coventry Stadium	
FB	0	HAM		Hampden Park	Hampden Park	
FB	0	MIL		Millennium Stadium	Millennium Stadium	
FB	0	OLD		Old Trafford	Old Trafford	
FB	0	SJP		St James' Park	St James' Park	
FB	0	WEM		Wembley Stadium	Wembley Stadium	
FB	M	000		Men	Hommes	
FB	M	400	1	Men	Hommes	Y
FB	W	000		Women	Femmes	
FB	W	400	2	Women	Femmes	Y
FE	0	000		Fencing	Escrime	
FE	0	100		Fencing Individual	Escrime individuelle	N
FE	0	400		Fencing Team	Escrime par équipes	N
FE	0	ES1		ExCeL - South Arena 1	ExCeL - South Arena 1	
FE	M	000		Men	Hommes	
FE	M	001	1	Men's Foil Individual	Fleuret individuel - hommes	
FE	M	002	3	Men's Epee Individual	Épée individuelle - hommes	
FE	M	003	5	Men's Sabre Individual	Sabre individuel - hommes	
FE	M	401	9	Men's Foil Team	Fleuret par équipes - hommes	Y
FE	M	403	7	Men's Sabre Team	Sabre par équipes - hommes	Y
FE	W	000		Women	Femmes	
FE	W	001	2	Women's Foil Individual	Fleuret individuel - femmes	
FE	W	002	4	Women's Epee Individual	Épée individuelle - femmes	
FE	W	003	6	Women's Sabre Individual	Sabre individuel - femmes	
FE	W	401	10	Women's Foil Team	Fleuret par équipes - femmes	Y
FE	W	402	8	Women's Epee Team	Épée par équipes - femmes	Y
GA	0	000		Gymnastics Artistic	Gymnastique artistique	
GA	0	NGA		North Greenwich Arena	North Greenwich Arena	
GA	M	000		Men Artistic Gymnastics	Gymnastique artistique - hommes	
GA	M	001	3	Men's Floor Exercise	Exercices au sol - hommes	
GA	M	002	6	Men's Vault	Saut de cheval - hommes	
GA	M	003	7	Men's Parallel Bars	Barres parallèles - hommes	
GA	M	004	8	Men's Horizontal Bar	Barre fixe - hommes	
GA	M	005	5	Men's Rings	Anneaux - hommes	
GA	M	006	4	Men's Pommel Horse	Cheval d'arçons - hommes	
GA	M	024	2	Men's Individual All-Around	Concours multiple individuel - hommes	
GA	M	400	9	Men's Team	Compétition par équipes - hommes	Y
GA	M	499	1	Men's Qualifications	Qualifications - hommes	N
GA	W	000		Women Artistic Gymnastics	Gymnastique artistique - femmes	
GA	W	001	15	Women's Floor Exercise	Exercices au sol - femmes	
GA	W	002	12	Women's Vault	Saut de cheval - femmes	
GA	W	007	13	Women's Uneven Bars	Barres asymétriques - femmes	
GA	W	008	14	Women's Beam	Poutre - femmes	
GA	W	024	11	Women's Individual All-Around	Concours multiple individuel - femmes	N
GA	W	400	16	Women's Team	Par équipes - femmes	Y
GA	W	499	10	Women's Qualification	Qualifications - femmes	N
GL	0	000		General	Général	
GL	0	AQC		Aquatics Centre	Centre aquatique	
GL	0	AWP		Water Polo Arena	Pavillon de water-polo	
GL	0	BBA		Basketball Arena	Pavillon de basketball	
GL	0	BMX		BMX Track	Piste de BMX	
GL	0	COV		City of Coventry Stadium	City of Coventry Stadium	
GL	0	EAR		Earls Court	Earls Court	
GL	0	ES1		ExCeL - South Arena 1	ExCeL - South Arena 1	
GL	0	ETD		Eton Dorney	Eton Dorney	
GL	0	EXL		ExCeL	ExCeL	
GL	0	GRP		Greenwich Park	Greenwich Park	
GL	0	HAD		Hadleigh Farm	Hadleigh Farm	
GL	0	HAM		Hampden Park	Hampden Park	
GL	0	HAP		Hampton Court Palace	Hampton Court Palace	
GL	0	HBA		Handball Arena	Pavillon de handball	
GL	0	HGP		Horse Guards Parade	Horse Guards Parade	
GL	0	HOC		Hockey Centre	Centre de hockey	
GL	0	HYD		Hyde Park	Hyde Park	
GL	0	LCG		Lord's Cricket Ground	Lord's Cricket Ground	
GL	0	LVC		Lee Valley W/ Water Centre	Lee Valley White Water Ctre	
GL	0	MIL		Millennium Stadium	Millennium Stadium	
GL	0	MLL		The Mall	The Mall	
GL	0	NGA		North Greenwich Arena	North Greenwich Arena	
GL	0	OLD		Old Trafford	Old Trafford	
GL	0	RAB		Royal Artillery Barracks	Royal Artillery Barracks	
GL	0	REE		REE Place Conditions / Weather Alerts	REE Cond. Place/Alertes météorologiques	
GL	0	REM		REM Place Conditions / Weather Alerts	REM Cond. Place/Alertes météorologiques	
GL	0	RLN		RLN Place Conditions / Weather Alerts	RLN Cond. Place/Alertes météorologiques	
GL	0	RNE		RNE Place Conditions / Weather Alerts	RNE Cond. Place/Alertes météorologiques	
GL	0	RNI		RNI Place Conditions / Weather Alerts	RNI Cond. Place/Alertes météorologiques	
GL	0	RNW		RNW Place Conditions / Weather Alerts	RNW Cond. Place/Alertes météorologiques	
GL	0	RSC		RSC Place Conditions / Weather Alerts	RSC Cond. Place/Alertes météorologiques	
GL	0	RSE		RSE Place Conditions / Weather Alerts	RSE Cond. Place/Alertes météorologiques	
GL	0	RSW		RSW Place Conditions / Weather Alerts	RSW Cond. Place/Alertes météorologiques	
GL	0	RWA		RWA Place Conditions / Weather Alerts	RWA Cond. Place/Alertes météorologiques	
GL	0	RWM		RWM Place Conditions / Weather Alerts	RWM Cond. Place/Alertes météorologiques	
GL	0	RYH		RYH Place Conditions / Weather Alerts	RYH Cond. Place/Alertes météorologiques	
GL	0	SJP		St James' Park	St James' Park	
GL	0	STA		Olympic Stadium	Stade olympique	
GL	0	VEL		Velodrome	Vélodrome	
GL	0	WAP		Weymouth and Portland	Weymouth and Portland	
GL	0	WEA		Wembley Arena	Wembley Arena	
GL	0	WEM		Wembley Stadium	Wembley Stadium	
GL	0	WIM		Wimbledon	Wimbledon	
GR	0	000		Gymnastics Rhythmic	Gymnastique rythmique	
GR	0	WEA		Wembley Arena	Wembley Arena	
GR	W	001	1	Individual All-Around	Concours multiple individuel	N
GR	W	400	2	Group All-Around	Concours des ensembles	Y
GT	0	000		Gymnastics Trampoline	Trampoline	
GT	0	NGA		North Greenwich Arena	North Greenwich Arena	
GT	M	000		Men	Hommes	
GT	M	001	1	Men	Hommes	
GT	W	000		Women	Femmes	
GT	W	001	2	Women	Femmes	
GY	0	000		Gymnastic Sport	Gymnastique	
HB	0	000		Handball	Handball	
HB	0	BBA		Basketball Arena	Pavillon de basketball	
HB	0	HBA		Handball Arena	Pavillon de handball	
HB	M	000		Men	Hommes	
HB	M	400	1	Men	Hommes	Y
HB	W	000		Women	Femmes	
HB	W	400	2	Women	Femmes	Y
HO	0	000		Hockey	Hockey	
HO	0	HOC		Hockey Centre	Centre de hockey	
HO	M	000		Men	Hommes	
HO	M	400	1	Men	Hommes	Y
HO	W	000		Women	Femmes	
HO	W	400	2	Women	Femmes	Y
IA	0	MET		IOC Meetings	Réunions du CIO	
JU	0	000		Judo	Judo	
JU	0	EN2		ExCeL - North Arena 2	ExCeL - North Arena 2	
JU	M	000		Men	Hommes	
JU	M	060	1	Men -60 kg	60 kg - hommes	N
JU	M	066	2	Men -66 kg	66 kg - hommes	N
JU	M	073	3	Men -73 kg	73 kg - hommes	N
JU	M	081	4	Men -81 kg	81 kg - hommes	N
JU	M	090	5	Men -90 kg	90 kg - hommes	N
JU	M	100	6	Men -100 kg	100 kg - hommes	N
JU	M	200	7	Men +100 kg	+100 kg - hommes	N
JU	W	000		Women	Femmes	
JU	W	048	8	Women -48 kg	48 kg - femmes	N
JU	W	052	9	Women -52 kg	52 kg - femmes	N
JU	W	057	10	Women -57 kg	57 kg - femmes	N
JU	W	063	11	Women -63 kg	63 kg - femmes	N
JU	W	070	12	Women -70 kg	70 kg - femmes	N
JU	W	078	13	Women -78 kg	78 kg - femmes	N
JU	W	178	14	Women +78 kg	+78 kg - femmes	N
MP	0	000		Modern Pentathlon	Pentathlon moderne	
MP	0	001		Modern Pentathlon	Pentathlon moderne	
MP	0	AQC		Aquatics Centre	Centre aquatique	
MP	0	GRP		Greenwich Park	Greenwich Park	
MP	0	HBA		Handball Arena	Pavillon de handball	
MP	M	000		Modern Pentathlon - Men	Pentathlon moderne - hommes	
MP	M	001	1	Men	Hommes	
MP	W	000		Modern Pentathlon - Women	Pentathlon moderne - femmes	
MP	W	001	2	Women	Femmes	
OV	0	CFH		Coffee House	Café	
OV	0	CLB		Club	Club	
OV	0	ENP		Entertainment Programme	Entertainment Programme	
OV	0	IFC		Interfaith Centre	Interfaith Centre	
OV	0	IOC		IOC Athletes' Commission Election	IOC Athletes' Commission Election	
OV	0	SPE		Special Events	Évènements spéciaux	
OV	0	TEA		Team Welcome Ceremonies	Cérémonies d'accueil des équipes	
OV	0	THR		Theatre	Théâtre	
OV	0	VTG		IOC Voting	Vote du CIO	
PC	0	AR0		Archery Press Conference	Conférence de presse - tir à l'arc	
PC	0	AT0		Athletics Press Conference	Conférence de presse - athlétisme	
PC	0	BD0		Badminton Press Conference	Conférence de presse - badminton	
PC	0	BK0		Basketball Press Conference	Conférence de presse - basketball	
PC	0	BV0		Beach Volleyball Press Conference	Conférence de presse - volleyball plage	
PC	0	BX0		Boxing Press Conference	Conférence de presse - boxe	
PC	0	CB0		Cycling BMX Media Conference	Conférence de presse - Cycling BMX	
PC	0	CF0		CF Press Conference	Conf. de presse - canoë-kayak, ligne	
PC	0	CM0		CM Bike Press Conference	Conférence de presse - Cyclisme Mtnbike	
PC	0	CR0		CR Press Conference	Conférence de presse - cyclisme route	
PC	0	CS0		CS Press Conference	Conf. de presse - canoë-kayak, slalom	
PC	0	CT0		CT Press Conference	Conférence de presse - cyclisme piste	
PC	0	DV0		Diving Press Conference	Conférence de presse - plongeon	
PC	0	EQ0		Equestrian Press Conference	Conférence de presse - sports équestres	
PC	0	FB0		Football Press Conference	Conférence de presse - football	
PC	0	FE0		Fencing Press Conference	Conférence de presse - escrime	
PC	0	GA0		GA Press Conference	Conf. de presse - gymnastique artistique	
PC	0	GEN		General Press Conference	Conférence de presse générale	
PC	0	GR0		GR Press Conference	Conf. de presse - gymnastique rythmique	
PC	0	GT0		GT Press Conference	Conférence de presse - trampoline	
PC	0	HB0		Handball Press Conference	Conférence de presse - handball	
PC	0	HO0		Hockey Press Conference	Conférence de presse - hockey	
PC	0	IOC		IOC/LOCOG Press Conference	Conférence de presse - CIO/LOCOG	
PC	0	JU0		Judo Press Conference	Conférence de presse - judo	
PC	0	LOC		LOCOG Press Conference	Conférence de presse - LOCOG	
PC	0	MP0		MP Press Conference	Conf. de presse - pentathlon moderne	
PC	0	RO0		Rowing Press Conference	Conférence de presse - aviron	
PC	0	SA0		Sailing Press Conference	Conférence de presse - voile	
PC	0	SH0		Shooting Press Conference	Conférence de presse - tir	
PC	0	SPO		Sponsor Press Conferences	Conférence de presse des partenaires	
PC	0	SW0		Swimming Press Conference	Conférence de presse - natation	
PC	0	SY0		SY Press Conference	Conf. de presse - natation synchronisée	
PC	0	TE0		Tennis Press Conference	Conférence de presse - tennis	
PC	0	TK0		Taekwondo Press Conference	Conférence de presse - taekwondo	
PC	0	TR0		Triathlon Press Conference	Conférence de presse - triathlon	
PC	0	TT0		Table Tennis Press Conference	Conférence de presse - tennis de table	
PC	0	VO0		Volleyball Press Conference	Conférence de presse - volleyball	
PC	0	WL0		WL Press Conference	Conférence de presse - haltérophilie	
PC	0	WP0		Water Polo Press Conference	Conférence de presse - water-polo	
PC	0	WR0		Wrestling Press Conference	Conférence de presse - lutte	
RO	0	000		Rowing	Aviron	
RO	0	ETD		Eton Dorney	Eton Dorney	
RO	M	000		Men	Hommes	
RO	M	012	2	Men's Single Sculls	Skiff - hommes	
RO	M	021	4	Men's Pair	2 en pointe - hommes	
RO	M	022	6	Men's Double Sculls	2 en couple - hommes	
RO	M	041	7	Men's Four	4 en pointe - hommes	
RO	M	042	12	Men's Quadruple Sculls	4 en couple - hommes	
RO	M	083	14	Men's Eight	8 en pointe - hommes	
RO	M	122	9	Lightweight Men's Double Sculls	2 en couple poids légers - hommes	
RO	M	141	10	Lightweight Men's Four	4 en pointe poids légers - hommes	
RO	W	000		Women	Femmes	
RO	W	012	1	Women's Single Sculls	Skiff - femmes	
RO	W	021	3	Women's Pair	2 en pointe - femmes	
RO	W	022	5	Women's Double Sculls	2 en couple - femmes	
RO	W	042	11	Women's Quadruple Sculls	4 en couple - femmes	
RO	W	083	13	Women's Eight	8 en pointe - femmes	
RO	W	122	8	Lightweight Women's Double Sculls	2 en couple poids légers - femmes	
SA	0	000		Sailing	Voile	
SA	0	WAP		Weymouth and Portland	Weymouth and Portland	
SA	M	000		Men	Hommes	
SA	M	002	5	Finn Men	Finn hommes	
SA	M	004	3	Laser Men	Laser hommes	
SA	M	005	6	470 Men	470 hommes	
SA	M	007	10	Star Men	Star hommes	
SA	M	009	8	49er Men	49er hommes	
SA	M	102	1	RS:X Men	RS:X hommes	
SA	W	000		Women	Femmes	
SA	W	005	7	470 Women	470 femmes	
SA	W	010	11	Elliott 6m WMR	Elliott 6 m - match racing - femmes	
SA	W	102	2	RS:X Women	RS:X femmes	
SA	W	103	4	Laser Radial Women	Laser radial femmes	
SH	0	000		Shooting	Tir	
SH	0	RAB		Royal Artillery Barracks	Royal Artillery Barracks	
SH	M	000		Men	Hommes	
SH	M	101	4	10m Air Rifle Men	10 m rifle à air - hommes	N
SH	M	103	3	50m Rifle Prone Men	50 m rifle couché - hommes	N
SH	M	104	1	50m Rifle 3 Positions Men	50 m rifle 3 positions - hommes	N
SH	M	201	5	50m Pistol Men	50 m pistolet - hommes	N
SH	M	202	6	25m Rapid Fire Pistol Men	25 m pistolet feu rapide - hommes	N
SH	M	203	7	10m Air Pistol Men	10 m pistolet à air - hommes	N
SH	M	401	8	Trap Men	Trap - hommes	Y
SH	M	402	9	Double Trap Men	Double trap - hommes	Y
SH	M	403	10	Skeet Men	Skeet - hommes	Y
SH	W	000		Women	Femmes	
SH	W	101	2	10m Air Rifle Women	10 m rifle à air - femmes	N
SH	W	104	11	50m Rifle 3 Positions Women	50 m rifle 3 positions - femmes	N
SH	W	203	13	10m Air Pistol Women	10 m pistolet à air - femmes	N
SH	W	204	12	25m Pistol Women	25 m pistolet - femmes	N
SH	W	401	14	Trap Women	Trap - femmes	Y
SH	W	403	15	Skeet Women	Skeet - femmes	Y
SW	0	000		Swimming	Natation	
SW	0	AQC		Aquatics Centre	Centre aquatique	
SW	0	HYD		Hyde Park	Hyde Park	
SW	M	000		Men	Hommes	
SW	M	010	18	Men's 50m Freestyle	50 m nage libre - hommes	N
SW	M	011	19	Men's 100m Freestyle	100 m nage libre - hommes	N
SW	M	012	20	Men's 200m Freestyle	200 m nage libre - hommes	N
SW	M	014	21	Men's 400m Freestyle	400 m nage libre - hommes	N
SW	M	015	22	Men's 1500m Freestyle	1 500 m nage libre - hommes	N
SW	M	021	27	Men's 100m Butterfly	100 m papillon - hommes	N
SW	M	022	28	Men's 200m Butterfly	200 m papillon - hommes	N
SW	M	031	25	Men's 100m Breaststroke	100 m brasse - hommes	N
SW	M	032	26	Men's 200m Breaststroke	200 m brasse - hommes	N
SW	M	041	23	Men's 100m Backstroke	100 m dos - hommes	N
SW	M	042	24	Men's 200m Backstroke	200 m dos - hommes	N
SW	M	052	29	Men's 200m Individual Medley	200 m 4 nages individuel - hommes	N
SW	M	054	30	Men's 400m Individual Medley	400 m 4 nages individuel - hommes	N
SW	M	119	34	Men's 10km Marathon	Marathon 10 km - hommes	N
SW	M	411	31	Men's 4 x 100m Freestyle Relay	Relais 4x100 m nage libre - hommes	Y
SW	M	412	32	Men's 4 x 200m Freestyle Relay	Relais 4x200 m nage libre - hommes	Y
SW	M	451	33	Men's 4 x 100m Medley Relay	Relais 4x100 m 4 nages - hommes	Y
SW	W	000		Women	Femmes	
SW	W	010	1	Women's 50m Freestyle	50 m nage libre - femmes	N
SW	W	011	2	Women's 100m Freestyle	100 m nage libre - femmes	N
SW	W	012	3	Women's 200m Freestyle	200 m nage libre - femmes	N
SW	W	014	4	Women's 400m Freestyle	400 m nage libre - femmes	N
SW	W	018	5	Women's 800m Freestyle	800 m nage libre - femmes	N
SW	W	021	10	Women's 100m Butterfly	100 m papillon - femmes	N
SW	W	022	11	Women's 200m Butterfly	200 m papillon - femmes	N
